Welfare Organizations,Account ID
Special Olympics East Asia,19598173
Starr Foundation,176523737
The Library Project,825901099
Television Trust for the Environment,64745128
The Asia Foundation,66837674
The Fred Hollows Foundation, 22105502
The International HIV/AIDS Alliance,229046403
The Jane Goodall Institute (Roots & Shoots),39822897
John D. and Catherine T. MacArthur Foundation,14275261
The Mountain Institute,52755418
The Salvation Army, 8839502
The World Conservation Union (IUCN),23638544
Wokai, 14664824
World Monuments Fund, 33535429
Yale-China Association,205048713
Youth For Understanding (YFU China),115009342
Act for Peace—National Council of Churches Australia (NCCA),28009605
Action on Poverty, 373209275
Adventist Development & Relief Agency (ADRA),59209825
Anglican Board of Mission Australia (ABM),491857689
Anglican Overseas Aid,1195684814
Australian Lutheran World Service (ALWS),17988622
Australian Red Cross (ARC),138418895
Brien Holden Vision Institute (BHVI),355207443
Burnet Institute,42589739
CARE Australia, 20960229
Caritas Australia,27811060
CBM Australia, 25471831
ChildFund Australia,165272173
Cufa, 738362199635283968
Engineers Without Borders Australia (EWB),77119289
Every Home Global Concern (EHGC),112686551
Family Planning NSW (FPNSW), 2384667085
Habitat for Humanity Australia,180549734
International Needs Australia (INA), 300049029
Interplast Australia and New Zealand,1961568476
International Women's Development Agency (IWDA), 40087520
Marie Stopes International Australia (MSIA) ,2838634328
Motivation Australia,746280018
Opportunity International Australia (OIA),161517001
Oxfam Australia,13752782
PLAN International Australia, 19220330
Save the Children Australia (SCA),26380701
TEAR Australia, 17661113
The Fred Hollows Foundation (FHF), 22105502
The Kokoda Track Foundation (KTF),133127259
The Leprosy Mission Australia (TLMA),110317473
Transform Aid International, 176982740
Union Aid Abroad—APHEDA,111199801
UnitingWorld, 65232868
WaterAid Australia,68627687
World Vision Australia (WVA),14739684
WWF—Australia,8923182
UNICEF Australia,41539999
ActionAid Australia,20299148
Assisi Aid Projects,4447247952
Australian Doctors International (ADI),3308338052
Australian Himalayan Foundation (AHF), 2188198878
Diplomacy Training Program (DTP),1321426146
Global Mission Partners,7.90237E+17
International Nepal Fellowship (INF) Australia, 92724703
MAA International,49666871
Palmera Projects,180248802
Royal Australian College of Surgeons (RACS),1383529963
Salvation Army International Development (SAID),21393581
SeeBeyondBorders Australia, 201994642
Sight for All,227185509
SurfAid International Australia,21898779
